Formula Grant Accountability/Performance Custom Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Indicator,Edu Type,Year,Grand Total Numerator,Grand Total Denominator,Grand Total Target,Grand Total Actual Performance,Met 90%,Missed 90%,Male Numerator,Male Denominator,Male Target,Male Actual Performance,Female  Numerator,Female  Denominator,Female  Target,Female  Actual Performance,American Indian or Alaskan Native (1997) Numerator,American Indian or Alaskan Native (1997) Denominator,American Indian or Alaskan Native (1997) Target,American Indian or Alaskan Native (1997) Actual Performance,Asian (1997) Numerator,Asian (1997) Denominator,Asian (1997) Target,Asian (1997) Actual Performance,Black or African American (1997) Numerator,Black or African American (1997) Denominator,Black or African American (1997) Target,Black or African American (1997) Actual Performance,Hispanic/Latino (1997) Numerator,Hispanic/Latino (1997) Denominator,Hispanic/Latino (1997) Target,Hispanic/Latino (1997) Actual Performance,Native Hawaiian or Other Pacific Islander (1997) Numerator,Native Hawaiian or Other Pacific Islander (1997) Denominator,Native Hawaiian or Other Pacific Islander (1997) Target,Native Hawaiian or Other Pacific Islander (1997) Actual Performance,White (1997) Numerator,White (1997) Denominator,White (1997) Target,White (1997) Actual Performance,Two or More Races (1997) Numerator,Two or More Races (1997) Denominator,Two or More Races (1997) Target,Two or More Races (1997) Actual Performance,Unknown (1997) Numerator,Unknown (1997) Denominator,Unknown (1997) Target,Unknown (1997) Actual Performance,American Indian or Alaskan Native (1977) Numerator,American Indian or Alaskan Native (1977) Denominator,American Indian or Alaskan Native (1977) Target,American Indian or Alaskan Native (1977) Actual Performance,Asian or Pacific Islander (1977) Numerator,Asian or Pacific Islander (1977) Denominator,Asian or Pacific Islander (1977) Target,Asian or Pacific Islander (1977) Actual Performance,Black (Not Hispanic) (1977) Numerator,Black (Not Hispanic) (1977) Denominator,Black (Not Hispanic) (1977) Target,Black (Not Hispanic) (1977) Actual Performance,Hispanic (1977) Numerator,Hispanic (1977) Denominator,Hispanic (1977) Target,Hispanic (1977) Actual Performance,White (1977) Numerator,White (1977) Denominator,White (1977) Target,White (1977) Actual Performance,Unknown (1977) Numerator,Unknown (1977) Denominator,Unknown (1977) Target,Unknown (1977) Actual Performance
California,5P1: Nontraditional Participation,Postsecondary,"2,015","50,447","202,977",23.00%,24.85%,Yes,No,"19,203","101,400",23.00%,18.94%,"31,244","101,577",23.00%,30.76%,336,"1,242",23.00%,27.05%,"7,662","27,556",23.00%,27.81%,"3,734","13,676",23.00%,27.30%,"17,649","74,004",23.00%,23.85%,243,981,23.00%,24.77%,"17,215","71,761",23.00%,23.99%,"1,530","5,478",23.00%,27.93%,"2,078","8,279",23.00%,25.10%,0,0,23.00%,0.00%,0,0,23.00%,0.00%,0,0,23.00%,0.00%,0,0,23.00%,0.00%,0,0,23.00%,0.00%,0,0,23.00%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,014","49,343","205,612",22.60%,24.00%,Yes,No,"18,802","102,352",22.60%,18.37%,"30,541","103,260",22.60%,29.58%,373,"1,433",22.60%,26.03%,"7,645","28,296",22.60%,27.02%,"3,758","14,217",22.60%,26.43%,"16,101","70,644",22.60%,22.79%,280,"1,091",22.60%,25.66%,"17,141","74,154",22.60%,23.12%,"1,215","4,331",22.60%,28.05%,"2,830","11,446",22.60%,24.72%,0,0,22.60%,0.00%,0,0,22.60%,0.00%,0,0,22.60%,0.00%,0,0,22.60%,0.00%,0,0,22.60%,0.00%,0,0,22.60%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,013","48,676","208,609",22.20%,23.33%,Yes,No,"18,562","103,802",22.20%,17.88%,"30,114","104,807",22.20%,28.73%,417,"1,642",22.20%,25.40%,"7,764","29,221",22.20%,26.57%,"3,792","14,201",22.20%,26.70%,"14,807","68,265",22.20%,21.69%,305,"1,264",22.20%,24.13%,"17,396","76,679",22.20%,22.69%,685,"2,632",22.20%,26.03%,"3,510","14,705",22.20%,23.87%,0,0,22.20%,0.00%,0,0,22.20%,0.00%,0,0,22.20%,0.00%,0,0,22.20%,0.00%,0,0,22.20%,0.00%,0,0,22.20%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,012","46,924","205,038",22.08%,22.89%,Yes,No,"17,766","100,861",22.08%,17.61%,"29,158","104,177",22.08%,27.99%,425,"1,731",22.08%,24.55%,"7,687","29,140",22.08%,26.38%,"3,548","13,564",22.08%,26.16%,"13,172","63,163",22.08%,20.85%,328,"1,379",22.08%,23.79%,"16,703","74,292",22.08%,22.48%,319,"1,307",22.08%,24.41%,"4,742","20,462",22.08%,23.17%,0,0,22.08%,0.00%,0,0,22.08%,0.00%,0,0,22.08%,0.00%,0,0,22.08%,0.00%,0,0,22.08%,0.00%,0,0,22.08%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,011","43,530","194,113",20.37%,22.43%,Yes,No,"16,608","94,078",20.37%,17.65%,"26,922","100,035",20.37%,26.91%,438,"1,816",20.37%,24.12%,"7,621","29,061",20.37%,26.22%,"3,461","13,341",20.37%,25.94%,"11,704","58,854",20.37%,19.89%,360,"1,508",20.37%,23.87%,"15,901","73,063",20.37%,21.76%,8,37,20.37%,21.62%,"4,037","16,433",20.37%,24.57%,0,0,20.37%,0.00%,0,0,20.37%,0.00%,0,0,20.37%,0.00%,0,0,20.37%,0.00%,0,0,20.37%,0.00%,0,0,20.37%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,010","39,971","181,714",20.29%,22.00%,Yes,No,"15,173","87,419",20.29%,17.36%,"24,798","94,295",20.29%,26.30%,414,"1,698",20.29%,24.38%,"7,039","27,364",20.29%,25.72%,"3,224","12,493",20.29%,25.81%,"10,682","54,834",20.29%,19.48%,296,"1,253",20.29%,23.62%,"14,997","69,801",20.29%,21.49%,0,-1,20.29%,0.00%,"3,319","14,271",20.29%,23.26%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,009","35,953","176,520",20.29%,20.37%,Yes,No,"14,144","83,707",20.29%,16.90%,"21,809","92,813",20.29%,23.50%,435,"1,724",20.29%,25.23%,"6,655","26,517",20.29%,25.10%,"3,258","12,697",20.29%,25.66%,"10,639","53,253",20.29%,19.98%,263,"1,128",20.29%,23.32%,"15,030","68,224",20.29%,22.03%,0,0,20.29%,0.00%,"3,176","13,840",20.29%,22.95%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%,0,0,20.29%,0.00%
California,5P1: Nontraditional Participation,Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,016","28,806","101,475",28.00%,28.39%,Yes,No,"11,740","47,765",28.00%,24.58%,"17,066","53,710",28.00%,31.77%,167,532,28.00%,31.39%,"5,139","16,297",28.00%,31.53%,"1,715","5,629",28.00%,30.47%,"10,089","36,638",28.00%,27.54%,136,428,28.00%,31.78%,"9,521","35,039",28.00%,27.17%,989,"3,214",28.00%,30.77%,"1,050","3,698",28.00%,28.39%,0,0,28.00%,0.00%,0,0,28.00%,0.00%,0,0,28.00%,0.00%,0,0,28.00%,0.00%,0,0,28.00%,0.00%,0,0,28.00%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,015","27,058","96,529",27.50%,28.03%,Yes,No,"11,357","44,811",27.50%,25.34%,"15,701","51,718",27.50%,30.36%,175,581,27.50%,30.12%,"4,896","15,855",27.50%,30.88%,"1,659","5,508",27.50%,30.12%,"9,068","32,807",27.50%,27.64%,145,453,27.50%,32.01%,"9,074","34,295",27.50%,26.46%,760,"2,510",27.50%,30.28%,"1,281","4,520",27.50%,28.34%,0,0,27.50%,0.00%,0,0,27.50%,0.00%,0,0,27.50%,0.00%,0,0,27.50%,0.00%,0,0,27.50%,0.00%,0,0,27.50%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,014","25,178","92,350",26.50%,27.26%,Yes,No,"10,912","42,390",26.50%,25.74%,"14,266","49,960",26.50%,28.55%,179,635,26.50%,28.19%,"4,741","15,565",26.50%,30.46%,"1,570","5,469",26.50%,28.71%,"7,853","29,334",26.50%,26.77%,148,501,26.50%,29.54%,"8,585","33,470",26.50%,25.65%,548,"1,861",26.50%,29.45%,"1,554","5,515",26.50%,28.18%,0,0,26.50%,0.00%,0,0,26.50%,0.00%,0,0,26.50%,0.00%,0,0,26.50%,0.00%,0,0,26.50%,0.00%,0,0,26.50%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,013","24,767","90,861",25.00%,27.26%,Yes,No,"10,865","40,985",25.00%,26.51%,"13,902","49,876",25.00%,27.87%,188,679,25.00%,27.69%,"4,832","15,853",25.00%,30.48%,"1,644","5,438",25.00%,30.23%,"6,994","26,954",25.00%,25.95%,162,557,25.00%,29.08%,"8,829","33,784",25.00%,26.13%,290,"1,051",25.00%,27.59%,"1,828","6,545",25.00%,27.93%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,012","24,183","89,561",25.00%,27.00%,Yes,No,"10,685","39,655",25.00%,26.94%,"13,498","49,906",25.00%,27.05%,190,686,25.00%,27.70%,"4,789","15,705",25.00%,30.49%,"1,551","5,324",25.00%,29.13%,"6,327","24,866",25.00%,25.44%,178,609,25.00%,29.23%,"8,639","33,122",25.00%,26.08%,159,573,25.00%,27.75%,"2,350","8,676",25.00%,27.09%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%,0,0,25.00%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,011","23,026","86,373",22.10%,26.66%,Yes,No,"10,253","37,702",22.10%,27.19%,"12,773","48,671",22.10%,26.24%,197,731,22.10%,26.95%,"4,857","15,738",22.10%,30.86%,"1,614","5,360",22.10%,30.11%,"5,888","23,905",22.10%,24.63%,194,690,22.10%,28.12%,"8,202","32,732",22.10%,25.06%,‡,23,22.10%,13.04%,‡,"7,194",22.10%,0.03%,0,0,22.10%,0.00%,0,0,22.10%,0.00%,0,0,22.10%,0.00%,0,0,22.10%,0.00%,0,0,22.10%,0.00%,0,0,22.10%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,010","21,460","82,720",21.99%,25.94%,Yes,No,"9,457","35,896",21.99%,26.35%,"12,003","46,824",21.99%,25.63%,203,695,21.99%,29.21%,"4,485","15,027",21.99%,29.85%,"1,522","5,236",21.99%,29.07%,"5,457","22,449",21.99%,24.31%,139,573,21.99%,24.26%,"7,939","32,356",21.99%,24.54%,0,-1,21.99%,0.00%,"1,715","6,384",21.99%,26.86%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,009","17,170","78,685",21.99%,21.82%,Yes,No,"8,336","33,736",21.99%,24.71%,"8,834","44,949",21.99%,19.65%,197,730,21.99%,26.99%,"4,083","14,339",21.99%,28.47%,"1,442","5,099",21.99%,28.28%,"5,225","21,382",21.99%,24.44%,142,520,21.99%,27.31%,"7,747","31,022",21.99%,24.97%,0,0,21.99%,0.00%,"1,580","5,946",21.99%,26.57%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%,0,0,21.99%,0.00%
California,5P2: Nontraditional Completion,Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,016","4,238","4,590",93.75%,92.33%,Yes,No,"1,365","1,517",93.75%,89.98%,"2,873","3,073",93.75%,93.49%,15,18,93.75%,83.33%,186,216,93.75%,86.11%,364,401,93.75%,90.77%,436,502,93.75%,86.85%,‡,‡,93.75%,100.00%,"3,043","3,246",93.75%,93.75%,51,53,93.75%,96.23%,142,153,93.75%,92.81%,0,0,93.75%,0.00%,0,0,93.75%,0.00%,0,0,93.75%,0.00%,0,0,93.75%,0.00%,0,0,93.75%,0.00%,0,0,93.75%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,015","3,204","3,513",95.00%,91.20%,Yes,No,709,816,95.00%,86.89%,"2,495","2,697",95.00%,92.51%,21,21,95.00%,100.00%,81,94,95.00%,86.17%,197,248,95.00%,79.44%,172,211,95.00%,81.52%,‡,‡,95.00%,100.00%,"2,525","2,775",95.00%,90.99%,27,29,95.00%,93.10%,109,133,95.00%,81.95%,0,0,95.00%,0.00%,0,0,95.00%,0.00%,0,0,95.00%,0.00%,0,0,95.00%,0.00%,0,0,95.00%,0.00%,0,0,95.00%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,014","3,149","3,390",88.00%,92.89%,Yes,No,808,873,88.00%,92.55%,"2,341","2,517",88.00%,93.01%,29,32,88.00%,90.63%,124,135,88.00%,91.85%,248,275,88.00%,90.18%,215,231,88.00%,93.07%,‡,‡,88.00%,80.00%,"2,400","2,565",88.00%,93.57%,0,0,88.00%,0.00%,132,150,88.00%,88.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%,0,0,88.00%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,013","7,053","7,418",86.50%,95.08%,Yes,No,"2,267","2,362",86.50%,95.98%,"4,786","5,056",86.50%,94.66%,46,51,86.50%,90.20%,183,190,86.50%,96.32%,959,998,86.50%,96.09%,751,779,86.50%,96.41%,9,9,86.50%,100.00%,"3,042","3,204",86.50%,94.94%,0,0,86.50%,0.00%,539,572,86.50%,94.23%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%,0,0,86.50%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,012","4,042","4,280",86.00%,94.44%,Yes,No,"1,128","1,203",86.00%,93.77%,"2,914","3,077",86.00%,94.70%,13,14,86.00%,92.86%,206,216,86.00%,95.37%,539,580,86.00%,92.93%,438,461,86.00%,95.01%,‡,‡,86.00%,100.00%,"2,695","2,841",86.00%,94.86%,10,10,86.00%,100.00%,140,157,86.00%,89.17%,0,0,86.00%,0.00%,0,0,86.00%,0.00%,0,0,86.00%,0.00%,0,0,86.00%,0.00%,0,0,86.00%,0.00%,0,0,86.00%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,011","3,427","3,623",84.10%,94.59%,Yes,No,982,"1,040",84.10%,94.42%,"2,445","2,583",84.10%,94.66%,12,12,84.10%,100.00%,188,197,84.10%,95.43%,392,426,84.10%,92.02%,329,345,84.10%,95.36%,‡,‡,84.10%,100.00%,"2,385","2,518",84.10%,94.72%,14,14,84.10%,100.00%,102,106,84.10%,96.23%,0,0,84.10%,0.00%,0,0,84.10%,0.00%,0,0,84.10%,0.00%,0,0,84.10%,0.00%,0,0,84.10%,0.00%,0,0,84.10%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,010","10,562","12,344",83.85%,85.56%,Yes,No,"2,181","2,986",83.85%,73.04%,"8,381","9,358",83.85%,89.56%,139,192,83.85%,72.40%,273,305,83.85%,89.51%,256,285,83.85%,89.82%,215,267,83.85%,80.52%,‡,‡,83.85%,100.00%,"9,426","11,006",83.85%,85.64%,9,9,83.85%,100.00%,259,286,83.85%,90.56%,0,0,83.85%,0.00%,0,0,83.85%,0.00%,0,0,83.85%,0.00%,0,0,83.85%,0.00%,0,0,83.85%,0.00%,0,0,83.85%,0.00%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,009","2,871","3,158",83.60%,90.91%,Yes,No,676,728,83.60%,92.86%,"2,195","2,430",83.60%,90.33%,0,0,83.60%,0.00%,0,0,83.60%,0.00%,0,0,83.60%,0.00%,0,0,83.60%,0.00%,0,0,83.60%,0.00%,0,0,83.60%,0.00%,0,0,83.60%,0.00%,0,0,83.60%,0.00%,44,50,83.60%,88.00%,119,132,83.60%,90.15%,310,343,83.60%,90.38%,199,207,83.60%,96.14%,"2,122","2,347",83.60%,90.41%,77,79,83.60%,97.47%
New York,1P1: Technical Skill Attainment,Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,016","32,565","70,638",50.75%,46.10%,Yes,No,"13,683","33,477",50.75%,40.87%,"18,882","37,161",50.75%,50.81%,225,522,50.75%,43.10%,"2,726","5,208",50.75%,52.34%,"4,797","13,162",50.75%,36.45%,"5,448","13,708",50.75%,39.74%,36,81,50.75%,44.44%,"17,801","34,675",50.75%,51.34%,336,862,50.75%,38.98%,"1,196","2,421",50.75%,49.40%,0,0,50.75%,0.00%,0,0,50.75%,0.00%,0,0,50.75%,0.00%,0,0,50.75%,0.00%,0,0,50.75%,0.00%,0,0,50.75%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,015","31,504","66,996",51.50%,47.02%,Yes,No,"13,354","31,673",51.50%,42.16%,"18,150","35,323",51.50%,51.38%,130,323,51.50%,40.25%,"2,609","4,802",51.50%,54.33%,"4,479","12,158",51.50%,36.84%,"4,905","12,168",51.50%,40.31%,32,68,51.50%,47.06%,"17,568","34,087",51.50%,51.54%,273,753,51.50%,36.25%,"1,508","2,639",51.50%,57.14%,0,0,51.50%,0.00%,0,0,51.50%,0.00%,0,0,51.50%,0.00%,0,0,51.50%,0.00%,0,0,51.50%,0.00%,0,0,51.50%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,014","30,454","67,526",55.63%,45.10%,No,Yes,"12,593","31,139",55.63%,40.44%,"17,861","36,387",55.63%,49.09%,202,554,55.63%,36.46%,"2,716","4,915",55.63%,55.26%,"4,165","12,200",55.63%,34.14%,"4,613","12,607",55.63%,36.59%,35,71,55.63%,49.30%,"17,272","34,514",55.63%,50.04%,0,0,55.63%,0.00%,"1,056","1,987",55.63%,53.15%,0,0,55.63%,0.00%,0,0,55.63%,0.00%,0,0,55.63%,0.00%,0,0,55.63%,0.00%,0,0,55.63%,0.00%,0,0,55.63%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,013","38,417","81,705",55.38%,47.02%,No,Yes,"15,855","37,331",55.38%,42.47%,"22,562","44,374",55.38%,50.85%,246,619,55.38%,39.74%,"3,217","6,036",55.38%,53.30%,"5,635","15,472",55.38%,36.42%,"5,373","14,356",55.38%,37.43%,74,149,55.38%,49.66%,"20,431","40,155",55.38%,50.88%,0,0,55.38%,0.00%,"6,066","15,709",55.38%,38.61%,0,0,55.38%,0.00%,0,0,55.38%,0.00%,0,0,55.38%,0.00%,0,0,55.38%,0.00%,0,0,55.38%,0.00%,0,0,55.38%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,012","29,874","63,243",54.88%,47.24%,No,Yes,"12,188","28,785",54.88%,42.34%,"17,686","34,458",54.88%,51.33%,120,332,54.88%,36.14%,"2,637","4,311",54.88%,61.17%,"4,329","10,110",54.88%,42.82%,"3,877","8,370",54.88%,46.32%,22,48,54.88%,45.83%,"16,396","33,762",54.88%,48.56%,86,263,54.88%,32.70%,"2,407","6,047",54.88%,39.80%,0,0,54.88%,0.00%,0,0,54.88%,0.00%,0,0,54.88%,0.00%,0,0,54.88%,0.00%,0,0,54.88%,0.00%,0,0,54.88%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,011","28,099","59,328",54.00%,47.36%,No,Yes,"11,483","26,874",54.00%,42.73%,"16,616","32,454",54.00%,51.20%,156,362,54.00%,43.09%,"2,414","4,195",54.00%,57.54%,"3,859","9,719",54.00%,39.71%,"3,265","7,945",54.00%,41.10%,35,71,54.00%,49.30%,"16,900","33,997",54.00%,49.71%,"3,739","7,193",54.00%,51.98%,"6,225","13,195",54.00%,47.18%,0,0,54.00%,0.00%,0,0,54.00%,0.00%,0,0,54.00%,0.00%,0,0,54.00%,0.00%,0,0,54.00%,0.00%,0,0,54.00%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,010","29,334","53,946",53.50%,54.38%,Yes,No,"12,308","24,248",53.50%,50.76%,"17,026","29,698",53.50%,57.33%,538,"1,031",53.50%,52.18%,"2,260","3,857",53.50%,58.59%,"4,105","8,685",53.50%,47.27%,"3,092","6,761",53.50%,45.73%,6,8,53.50%,75.00%,"17,800","31,116",53.50%,57.21%,68,182,53.50%,37.36%,"1,736","3,051",53.50%,56.90%,0,0,53.50%,0.00%,0,0,53.50%,0.00%,0,0,53.50%,0.00%,0,0,53.50%,0.00%,0,0,53.50%,0.00%,0,0,53.50%,0.00%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,009","27,377","52,260",53.00%,52.39%,Yes,No,"11,137","22,904",53.00%,48.62%,"16,240","29,356",53.00%,55.32%,0,0,53.00%,0.00%,0,0,53.00%,0.00%,0,0,53.00%,0.00%,0,0,53.00%,0.00%,0,0,53.00%,0.00%,0,0,53.00%,0.00%,0,0,53.00%,0.00%,0,0,53.00%,0.00%,"1,420","2,430",53.00%,58.44%,"2,327","4,019",53.00%,57.90%,"4,063","8,822",53.00%,46.06%,"2,784","6,296",53.00%,44.22%,"15,325","28,066",53.00%,54.60%,"1,458","2,627",53.00%,55.50%
New York,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
New York,3P1: Student Retention or Transfer,Postsecondary,"2,016","76,113","124,823",68.00%,60.98%,No,Yes,"35,784","61,063",68.00%,58.60%,"40,329","63,760",68.00%,63.25%,348,626,68.00%,55.59%,"7,292","9,909",68.00%,73.59%,"15,140","24,130",68.00%,62.74%,"18,061","26,082",68.00%,69.25%,73,128,68.00%,57.03%,"31,855","57,726",68.00%,55.18%,711,"1,600",68.00%,44.44%,"2,633","4,623",68.00%,56.95%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%,0,0,68.00%,0.00%
New York,3P1: Student Retention or Transfer,Postsecondary,"2,015","88,258","131,464",72.00%,67.13%,Yes,No,"42,011","67,983",72.00%,61.80%,"46,247","63,481",72.00%,72.85%,403,659,72.00%,61.15%,"7,610","10,289",72.00%,73.96%,"16,023","25,163",72.00%,63.68%,"18,786","27,173",72.00%,69.13%,119,125,72.00%,95.20%,"40,576","61,825",72.00%,65.63%,"1,017","1,223",72.00%,83.16%,"3,724","5,059",72.00%,73.61%,0,0,72.00%,0.00%,0,0,72.00%,0.00%,0,0,72.00%,0.00%,0,0,72.00%,0.00%,0,0,72.00%,0.00%,0,0,72.00%,0.00%
New York,3P1: Student Retention or Transfer,Postsecondary,"2,014","86,255","139,922",67.00%,61.65%,Yes,No,"40,673","67,074",67.00%,60.64%,"45,582","72,848",67.00%,62.57%,869,"1,288",67.00%,67.47%,"7,624","11,182",67.00%,68.18%,"16,535","28,019",67.00%,59.01%,"17,747","26,563",67.00%,66.81%,252,329,67.00%,76.60%,"42,750","70,158",67.00%,60.93%,0,0,67.00%,0.00%,"17,635","28,965",67.00%,60.88%,0,0,67.00%,0.00%,0,0,67.00%,0.00%,0,0,67.00%,0.00%,0,0,67.00%,0.00%,0,0,67.00%,0.00%,0,0,67.00%,0.00%
New York,3P1: Student Retention or Transfer,Postsecondary,"2,013","115,253","158,554",65.50%,72.69%,Yes,No,"54,172","75,648",65.50%,71.61%,"61,081","82,906",65.50%,73.68%,982,"1,353",65.50%,72.58%,"10,914","13,733",65.50%,79.47%,"23,405","33,241",65.50%,70.41%,"23,288","32,271",65.50%,72.16%,266,341,65.50%,78.01%,"53,979","73,703",65.50%,73.24%,0,0,65.50%,0.00%,"24,784","34,427",65.50%,71.99%,0,0,65.50%,0.00%,0,0,65.50%,0.00%,0,0,65.50%,0.00%,0,0,65.50%,0.00%,0,0,65.50%,0.00%,0,0,65.50%,0.00%
New York,3P1: Student Retention or Transfer,Postsecondary,"2,012","112,746","146,115",65.00%,77.16%,Yes,No,"52,507","69,104",65.00%,75.98%,"60,239","77,011",65.00%,78.22%,521,733,65.00%,71.08%,"9,775","11,449",65.00%,85.38%,"20,840","26,621",65.00%,78.28%,"20,573","25,066",65.00%,82.08%,89,115,65.00%,77.39%,"51,893","69,259",65.00%,74.93%,494,671,65.00%,73.62%,"8,561","12,201",65.00%,70.17%,0,0,65.00%,0.00%,0,0,65.00%,0.00%,0,0,65.00%,0.00%,0,0,65.00%,0.00%,0,0,65.00%,0.00%,0,0,65.00%,0.00%
New York,3P1: Student Retention or Transfer,Postsecondary,"2,011","111,068","142,297",58.60%,78.05%,Yes,No,"51,151","66,542",58.60%,76.87%,"59,917","75,755",58.60%,79.09%,515,721,58.60%,71.43%,"9,759","11,540",58.60%,84.57%,"21,689","27,549",58.60%,78.73%,"19,995","24,675",58.60%,81.03%,119,155,58.60%,76.77%,"54,772","71,869",58.60%,76.21%,365,476,58.60%,76.68%,"3,856","5,315",58.60%,72.55%,0,0,58.60%,0.00%,0,0,58.60%,0.00%,0,0,58.60%,0.00%,0,0,58.60%,0.00%,0,0,58.60%,0.00%,0,0,58.60%,0.00%
